target,feature_group,best_model_class,best_rmse,best_mae,best_r2
future_vol_21d,baseline,Linear Regression,0.004440102409549,0.003005215136314,0.3288926107003505
future_vol_21d,baseline_plus_emeu,Random Forest,0.0046574685159222,0.0031700789519382,0.2615758324607152
future_vol_21d,baseline_plus_epu,Linear Regression,0.0044902075029232,0.003020037568759,0.3136606976134977
future_vol_21d,baseline_plus_epu_emeu,Random Forest,0.0044563436414775,0.0031459727780558,0.3239740100348626
future_vol_21d,baseline_plus_vix,Linear Regression,0.0044375612311484,0.0029321055806172,0.3296605729782595
future_vol_21d,baseline_plus_vix_emeu,Random Forest,0.0048183501332233,0.0031484372960101,0.2096803910345135
future_vol_21d,baseline_plus_vix_epu,Linear Regression,0.0045019013294907,0.0029215195455917,0.3100811820953056
future_vol_21d,full_uncertainty,Random Forest,0.0047435826817499,0.0031414426422087,0.2340172380399968
future_vol_5d,baseline,Linear Regression,0.0057556236692185,0.0040033449391389,0.2828551627433753
future_vol_5d,baseline_plus_emeu,Random Forest,0.0058374977357897,0.0041023454481543,0.2623071965708792
future_vol_5d,baseline_plus_epu,Linear Regression,0.005771262370796,0.0040341297247192,0.2789527357376138
future_vol_5d,baseline_plus_epu_emeu,Random Forest,0.0058621715037152,0.0041424317205211,0.2560578997019129
future_vol_5d,baseline_plus_vix,Linear Regression,0.0056110762385989,0.0039292260162058,0.3184237705812491
future_vol_5d,baseline_plus_vix_emeu,Random Forest,0.0057425703603239,0.0040205042383215,0.2861043320707549
future_vol_5d,baseline_plus_vix_epu,Linear Regression,0.0056148044635381,0.0039117752942559,0.3175177363080266
future_vol_5d,full_uncertainty,XGBoost,0.0057560861716369,0.0040055724039568,0.2827399034536685
