target,model_class,model,feature_group,ticker,rmse,mae,r2
future_vol_21d,Linear Regression,Linear Regression | baseline,baseline,SPY,0.004087681442971361,0.0026989981626463835,0.3120442648502506
future_vol_21d,Linear Regression,Linear Regression | baseline_plus_epu,baseline_plus_epu,SPY,0.004163845722997236,0.002737651103396842,0.2861685662700596
future_vol_21d,Linear Regression,Linear Regression | baseline_plus_vix,baseline_plus_vix,SPY,0.004180709792680469,0.002635369794067232,0.2803746527984957
future_vol_21d,Linear Regression,Linear Regression | baseline_plus_vix_epu,baseline_plus_vix_epu,SPY,0.004280596940293946,0.0026465227911846296,0.24557671886685462
future_vol_21d,Linear Regression,Linear Regression | baseline_plus_vix_emeu,baseline_plus_vix_emeu,SPY,0.004686843193810776,0.002917568524663847,0.09558604251022151
future_vol_21d,Linear Regression,Linear Regression | full_uncertainty,full_uncertainty,SPY,0.0047064079440598105,0.0029404498258639527,0.08801951438451139
future_vol_21d,Linear Regression,Linear Regression | baseline_plus_emeu,baseline_plus_emeu,SPY,0.004790068459260539,0.0030969600540559855,0.05530884460350338
future_vol_21d,Linear Regression,Linear Regression | baseline_plus_epu_emeu,baseline_plus_epu_emeu,SPY,0.004805421062352008,0.0031126704847794706,0.04924349879854861
future_vol_21d,Random Forest,Random Forest | baseline_plus_epu_emeu,baseline_plus_epu_emeu,SPY,0.0041677502965033935,0.003095387226826695,0.2848291726820332
future_vol_21d,Random Forest,Random Forest | baseline_plus_epu,baseline_plus_epu,SPY,0.004177906549827162,0.002974828154088315,0.28133937333561776
future_vol_21d,Random Forest,Random Forest | baseline_plus_vix_epu,baseline_plus_vix_epu,SPY,0.004223049934068995,0.0026985439021909655,0.2657248310827378
future_vol_21d,Random Forest,Random Forest | full_uncertainty,full_uncertainty,SPY,0.004344064802850943,0.0029060030153290803,0.22303939465238853
future_vol_21d,Random Forest,Random Forest | baseline_plus_emeu,baseline_plus_emeu,SPY,0.004400398049458514,0.003128395659226047,0.2027576959340831
future_vol_21d,Random Forest,Random Forest | baseline_plus_vix,baseline_plus_vix,SPY,0.004436439973928047,0.002736291247643734,0.1896444177198684
future_vol_21d,Random Forest,Random Forest | baseline_plus_vix_emeu,baseline_plus_vix_emeu,SPY,0.004465783175417376,0.002929193167654671,0.17888936903127473
future_vol_21d,Random Forest,Random Forest | baseline,baseline,SPY,0.004540154443542197,0.002847190522473991,0.1513127810856555
future_vol_21d,XGBoost,XGBoost | baseline_plus_emeu,baseline_plus_emeu,SPY,0.004151241204822222,0.0028673685056466542,0.29048375158566986
future_vol_21d,XGBoost,XGBoost | baseline_plus_epu,baseline_plus_epu,SPY,0.004212651564170437,0.002931791919538085,0.2693363747860098
future_vol_21d,XGBoost,XGBoost | baseline_plus_vix_epu,baseline_plus_vix_epu,SPY,0.0043110960121377695,0.0028696575798530626,0.23478795272199549
future_vol_21d,XGBoost,XGBoost | baseline_plus_vix,baseline_plus_vix,SPY,0.004351742825847394,0.0026694325519429764,0.22029045161442007
future_vol_21d,XGBoost,XGBoost | baseline_plus_epu_emeu,baseline_plus_epu_emeu,SPY,0.004365364167644108,0.002979283799488528,0.21540169208123083
future_vol_21d,XGBoost,XGBoost | baseline,baseline,SPY,0.004377039457249034,0.0027474945550086506,0.21119921915709472
future_vol_21d,XGBoost,XGBoost | baseline_plus_vix_emeu,baseline_plus_vix_emeu,SPY,0.00469475986301121,0.0028488989094125785,0.09252812362907514
future_vol_21d,XGBoost,XGBoost | full_uncertainty,full_uncertainty,SPY,0.004722746727307216,0.0030479753726071947,0.08167645350403485
future_vol_21d,Linear Regression,Linear Regression | baseline_plus_vix,baseline_plus_vix,XLE,0.005323368977544311,0.0034238632601632933,0.20387661541107371
future_vol_21d,Linear Regression,Linear Regression | baseline_plus_vix_epu,baseline_plus_vix_epu,XLE,0.00533446718546507,0.0033650632520259415,0.2005536246133326
future_vol_21d,Linear Regression,Linear Regression | baseline_plus_vix_emeu,baseline_plus_vix_emeu,XLE,0.0056684019012439545,0.0035988758390576403,0.09733103312725078
future_vol_21d,Linear Regression,Linear Regression | full_uncertainty,full_uncertainty,XLE,0.005686503978508271,0.0036092554869751894,0.09155646918243066
future_vol_21d,Linear Regression,Linear Regression | baseline,baseline,XLE,0.005744091380640753,0.0038365962129132125,0.07306363054390008
future_vol_21d,Linear Regression,Linear Regression | baseline_plus_epu,baseline_plus_epu,XLE,0.005785673523757683,0.003842572896056392,0.05959465505044359
